[2025-12-17 19:23:21,933] 164 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[2025-12-17 19:23:23,569] 27 root - INFO - Entered the data ingestion method or component
[2025-12-17 19:23:23,573] 30 root - INFO - Read the datasets as dataframe
[2025-12-17 19:23:23,577] 33 root - INFO - Train test split initiated
[2025-12-17 19:23:23,582] 37 root - INFO - Ingestion of the data is completed
[2025-12-17 19:23:23,585] 69 root - INFO - Read train and test data completed
[2025-12-17 19:23:23,585] 71 root - INFO - Obtaining preprocessing object
[2025-12-17 19:23:23,586] 51 root - INFO - Numerical and categorical pipelines created
[2025-12-17 19:23:23,587] 83 root - INFO - Applying preprocessing object on training and testing dataframes
[2025-12-17 19:23:23,603] 94 root - INFO - Saved preprocessing object
[2025-12-17 19:23:23,606] 31 root - INFO - Splitting training and test input data
[2025-12-17 19:23:27,324] 74 root - INFO - Best model found on both training and testing dataset
