[2025-12-17 19:50:43,451] 164 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[2025-12-17 19:50:45,105] 27 root - INFO - Entered the data ingestion method or component
[2025-12-17 19:50:45,111] 30 root - INFO - Read the datasets as dataframe
[2025-12-17 19:50:45,117] 33 root - INFO - Train test split initiated
[2025-12-17 19:50:45,125] 37 root - INFO - Ingestion of the data is completed
[2025-12-17 19:50:45,131] 69 root - INFO - Read train and test data completed
[2025-12-17 19:50:45,131] 71 root - INFO - Obtaining preprocessing object
[2025-12-17 19:50:45,131] 51 root - INFO - Numerical and categorical pipelines created
[2025-12-17 19:50:45,132] 83 root - INFO - Applying preprocessing object on training and testing dataframes
[2025-12-17 19:50:45,159] 94 root - INFO - Saved preprocessing object
[2025-12-17 19:50:45,164] 31 root - INFO - Splitting training and test input data
[2025-12-17 19:50:48,724] 105 root - INFO - Best model found on both training and testing dataset
