[2025-12-17 19:21:55,905] 164 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[2025-12-17 19:21:57,631] 27 root - INFO - Entered the data ingestion method or component
[2025-12-17 19:21:57,635] 30 root - INFO - Read the datasets as dataframe
[2025-12-17 19:21:57,639] 33 root - INFO - Train test split initiated
[2025-12-17 19:21:57,643] 37 root - INFO - Ingestion of the data is completed
[2025-12-17 19:21:57,646] 69 root - INFO - Read train and test data completed
[2025-12-17 19:21:57,646] 71 root - INFO - Obtaining preprocessing object
[2025-12-17 19:21:57,646] 51 root - INFO - Numerical and categorical pipelines created
[2025-12-17 19:21:57,647] 83 root - INFO - Applying preprocessing object on training and testing dataframes
[2025-12-17 19:21:57,663] 94 root - INFO - Saved preprocessing object
[2025-12-17 19:21:57,666] 31 root - INFO - Splitting training and test input data
[2025-12-17 19:22:01,459] 74 root - INFO - Best model found on both training and testing dataset
